gene,strand,chr,gStart,gEnd
SNORD45C,+,chr1,76252757,76252835
SNORD46,+,chr1,45242162,45242265
SNORD48,+,chr6,31803040,31803103
SNORD4A,+,chr17,27049600,27049671
SNORD4B,+,chr17,27050700,27050771
SNORD5,-,chr11,93466394,93466466
SNORD51,+,chr2,207026602,207026681
SNORD52,+,chr6,31804853,31804919
SNORD53,+,chr2,29149933,29150010
SNORD54,-,chr8,56986394,56986460
SNORD55,+,chr1,45241536,45241615
SNORD56,+,chr20,2637270,2637340
SNORD56B,+,chr14,71865054,71865124
SNORD57,+,chr20,2637585,2637656
SNORD58A,-,chr18,47017653,47017717
SNORD58B,-,chr18,47018034,47018099
SNORD58C,-,chr18,47015615,47015678
SNORD59A,-,chr12,57038811,57038885
SNORD6,-,chr11,93464668,93464740
SNORD60,-,chr16,2205024,2205106
SNORD61,-,chrX,135961358,135961430
SNORD62A,+,chr9,134361052,134361137
SNORD62B,+,chr9,134365873,134365958
SNORD63,-,chr5,137896732,137896799
SNORD64,+,chr15,25230011,25230320
SNORD66,+,chr3,184043484,184043559
SNORD67,-,chr11,46783939,46784049
SNORD68,+,chr16,89627842,89627925
SNORD69,+,chr3,52726752,52726828
SNORD7,+,chr17,33900676,33900772
SNORD70,+,chr2,203141154,203141241
SNORD71,-,chr16,71792305,71792390
SNORD72,-,chr5,40832758,40832837
SNORD73A,+,chr4,152024979,152025043
SNORD78,-,chr1,173834760,173834824
SNORD8,-,chr14,21865451,21865560
SNORD82,-,chr2,232325082,232325151
SNORD83A,-,chr22,39711218,39711312
SNORD83B,-,chr22,39709824,39709916
SNORD84,-,chr6,31508878,31508955
SNORD85,-,chr1,31441011,31441083
SNORD86,+,chr20,2636743,2636828
SNORD87,-,chr8,67834709,67834786
SNORD88A,-,chr19,51302699,51302789
SNORD88B,-,chr19,51302289,51302379
SNORD88C,-,chr19,51305585,51305675
SNORD89,-,chr2,101889398,101889511
SNORD9,-,chr14,21860309,21860412
SNORD90,-,chr9,125642492,125642602
SNORD91A,-,chr17,2233570,2233664
SNORD91B,-,chr17,2232413,2232507
SNORD92,+,chr2,29136530,29136614
SNORD93,+,chr7,22896232,22896305
SNORD94,+,chr2,86362993,86363129
SNORD95,-,chr5,180670312,180670379
SNORD96A,-,chr5,180668814,180668892
SNORD96B,-,chrX,109468213,109468291
SNORD97,-,chr11,10823014,10823155
SNORD98,+,chr10,70514929,70514995
SNORD99,-,chr1,28905261,28905334
SNPH,+,chr20,1246960,1289972
SNRK,+,chr3,43328004,43466256
SNRK-AS1,-,chr3,43391136,43393454
SNRNP200,-,chr2,96940074,96971297
SNRNP25,+,chr16,103010,107669
SNRNP27,+,chr2,70120692,70132707
SNRNP35,+,chr12,123942188,123957701
SNRNP40,-,chr1,31732417,31769662
SNRNP48,+,chr6,7590432,7612200
SNRNP70,+,chr19,49588676,49611862
SNRPA,+,chr19,41256542,41271294
SNRPA1,-,chr15,101821715,101835487
SNRPB,-,chr20,2442280,2451499
SNRPB2,+,chr20,16710606,16722421
SNRPBP1,-,chr7,80006870,80007151
SNRPC,+,chr6,34725183,34741571
SNRPD1,+,chr18,19192228,19210417
SNRPD2,-,chr19,46190712,46195827
SNRPD2P1,+,chr10,91738474,91738827
SNRPD2P2,-,chr1,231611702,231612034
SNRPD3,+,chr22,24951471,25005947
SNRPE,+,chr1,203830731,203839678
SNRPEP10,-,chr1,223831812,223832085
SNRPEP2,-,chr9,6748703,6748981
SNRPEP3,-,chr16,20250294,20250569
SNRPEP4,-,chr19,5576671,5576949
SNRPEP5,+,chr2,8743212,8743489
SNRPEP6,-,chr6,148888514,148888790
SNRPEP7,+,chr1,27537756,27537975
SNRPEP8,+,chr10,54798045,54798304
SNRPEP9,+,chrX,24531567,24531804
SNRPF,+,chr12,96252706,96297606
SNRPFP1,-,chr20,48346128,48346379
SNRPFP2,+,chr1,26213851,26214101
SNRPFP3,-,chr13,69675964,69676188
SNRPFP4,+,chr3,48202666,48202907
SNRPG,-,chr2,70508494,70520903
SNRPGP1,-,chr14,51038637,51038858
SNRPGP10,+,chr1,205320375,205320599
SNRPGP11,-,chr13,52070156,52070387
SNRPGP12,-,chr10,111898972,111899184
SNRPGP13,+,chr21,39874369,39874545
SNRPGP14,+,chr13,50063106,50063500
SNRPGP15,+,chr19,14599758,14600691
SNRPGP16,+,chr11,92670607,92670832
SNRPGP17,+,chr17,57358491,57358704
SNRPGP18,+,chr12,116606850,116607063
SNRPGP19,-,chr11,65281874,65282394
SNRPGP2,-,chr18,51933259,51933484
SNRPGP20,-,chr12,80382794,80382998
SNRPGP3,+,chr7,129117716,129117942
SNRPGP4,+,chr17,67314874,67315102
SNRPGP5,-,chr10,13146574,13146793
SNRPGP6,+,chr10,118168768,118168987
SNRPGP7,-,chr2,28683123,28683228
SNRPGP8,-,chr2,228643226,228643451
SNRPGP9,+,chr2,109867878,109868102
SNRPN,+,chr15,25068794,25223870
SNTA1,-,chr20,31995761,32031698
SNTB1,-,chr8,121547985,121825513
SNTB2,+,chr16,69221032,69342955
SNTG1,+,chr8,50822349,51706678
SNTG2,+,chr2,946554,1371385
SNTN,+,chr3,63638344,63664696
SNUPN,-,chr15,75890424,75918810
SNURF,+,chr15,25200181,25245423
SNURFL,+,chrX,138444199,138444541
SNW1,-,chr14,78183942,78227550
SNX1,+,chr15,64386322,64438289
SNX10,+,chr7,26331541,26413949
SNX11,+,chr17,46180719,46200436
SNX12,-,chrX,70279094,70288273
SNX13,-,chr7,17830385,17980124
SNX14,-,chr6,86215214,86303874
SNX15,+,chr11,64794880,64808044
SNX16,-,chr8,82711816,82755101
SNX17,+,chr2,27593389,27599995
SNX18,+,chr5,53813589,53842415
SNX18P13,-,chr21,15278281,15278809
SNX18P14,-,chr2,95452433,95453006
SNX18P15,-,chr1,142660017,142660749
SNX18P16,-,chr1,142688379,142688925
SNX18P2,-,chr9,95655980,95656787
SNX18P23,-,chr4,49235306,49235982
SNX18P24,+,chr4,49563496,49564166
SNX18P25,+,chr4,49590789,49591546
SNX18P26,-,chr13,19381419,19382158
SNX18P27,+,chr8,43368786,43369564
SNX18P3,-,chr9,38566257,38568208
SNX18P4,-,chr9,43062929,43063757
SNX18P5,-,chr9,44046989,44047817
SNX18P6,-,chr9,66394412,66395279
SNX18P7,+,chr9,33576378,33577012
SNX18P8,+,chr9,42438100,42438973
SNX18P9,+,chr9,69451764,69452598
SNX19,-,chr11,130745331,130786404
SNX19P1,+,chr21,14897920,14900900
SNX19P2,-,chr13,19466400,19469370
SNX19P3,-,chr18,14629831,14632805
SNX2,+,chr5,122110691,122165803
SNX20,-,chr16,50700211,50715264
SNX21,+,chr20,44462449,44471914
SNX22,+,chr15,64443914,64449680
SNX24,+,chr5,122179134,122365049
SNX25,+,chr4,186125391,186291339
SNX25P1,+,chr1,211590367,211591276
SNX27,+,chr1,151584541,151671567
SNX29,+,chr16,12070594,12668146
SNX29P1,+,chr16,21391313,21403412
SNX29P2,+,chr16,29262829,29519817
SNX2P2,+,chr7,31980874,31981196
SNX3,-,chr6,108532426,108582464
SNX30,+,chr9,115513118,115643951
SNX31,-,chr8,101585116,101675643
SNX32,+,chr11,65601112,65624367
SNX33,+,chr15,75940247,75954642
SNX33P1,-,chr19,16145586,16147347
SNX3P1X,-,chrX,91770322,91770496
SNX4,-,chr3,125165495,125239041
SNX5,-,chr20,17922241,17949623
SNX5P1,+,chr4,77265703,77266743
SNX6,-,chr14,35030300,35099389
SNX6P1,-,chr19,23309371,23310594
SNX7,+,chr1,99127236,99226056
SNX8,-,chr7,2291405,2393953
SNX9,+,chr6,158244296,158366109
SOAT1,+,chr1,179262925,179327815
SOAT2,+,chr12,53497302,53518322
SOBP,+,chr6,107811162,107981357
SOCS1,-,chr16,11348262,11350036
SOCS2,+,chr12,93963590,93977263
SOCS2-AS1,-,chr12,93936239,93965544
SOCS2P1,+,chr20,31775197,31776098
SOCS2P2,-,chr22,22525369,22525942
SOCS3,-,chr17,76352864,76356158
SOCS4,+,chr14,55493948,55516206
SOCS5,+,chr2,46926091,46990268
SOCS5P1,-,chr7,85846101,85847049
SOCS5P2,+,chr9,138339292,138342000
SOCS5P3,-,chr3,44750803,44752378
SOCS5P4,-,chrX,70263064,70265320
SOCS5P5,+,chr6,113543368,113545274
SOCS6,+,chr18,67956137,67997436
SOCS7,+,chr17,36508111,36556019
SOD1,+,chr21,33031935,33041244
SOD1P1,-,chr6,53061518,53061957
SOD1P2,+,chr16,51141482,51141932
SOD1P3,-,chr8,126964105,126964558
SOD2,-,chr6,160090089,160183561
SOD2P1,-,chr1,103565699,103566260
SOD3,+,chr4,24791534,24802464
SOGA1,-,chr20,35405845,35492089
SOGA2,+,chr18,8705659,8832776
SOGA2P1,+,chr13,71497796,71498587
SOGA3,-,chr6,127759551,127840500
SOHLH1,-,chr9,138585253,138591374
SOHLH2,-,chr13,36742345,36871979
SON,+,chr21,34914924,34949812
SORBS1,-,chr10,97071528,97321171
SORBS2,-,chr4,186506598,186877806
SORBS3,+,chr8,22402499,22433301
SORCS1,-,chr10,108333421,108924292
SORCS2,+,chr4,7194265,7744554
SORCS3,+,chr10,106400859,107024993
SORCS3-AS1,-,chr10,106424366,106425958
SORD,+,chr15,45315302,45369383
SORL1,+,chr11,121322912,121504402
SORT1,-,chr1,109852192,109940573
SOS1,-,chr2,39208537,39351486
SOS1-IT1,-,chr2,39219420,39220998
SOS2,-,chr14,50583847,50698276
SOST,-,chr17,41831099,41836156
SOSTDC1,-,chr7,16501106,16570205
SOWAHA,+,chr5,132149033,132152488
SOWAHB,-,chr4,77816082,77819002
SOWAHC,+,chr2,110371911,110376563
SOWAHD,+,chrX,118892576,118894164
SOX1,+,chr13,112721913,112726020
SOX10,-,chr22,38366693,38383429
SOX11,+,chr2,5832799,5841516
SOX12,+,chr20,306207,310865
SOX13,+,chr1,204042243,204096863
SOX14,+,chr3,137483579,137484396
SOX15,-,chr17,7491496,7493488
SOX17,+,chr8,55370495,55373448
SOX18,-,chr20,62679076,62680994
SOX2,+,chr3,181429714,181432221
SOX2-OT,+,chr3,180707558,181554668
SOX21,-,chr13,95361886,95364389
SOX21-AS1,+,chr13,95364970,95368500
SOX3,-,chrX,139585152,139587225
SOX30,-,chr5,157052687,157098488
SOX4,+,chr6,21593972,21598847
SOX5,-,chr12,23682440,24103966
SOX5P,-,chr8,88800790,88801916
SOX6,-,chr11,15987995,16761138
SOX7,-,chr8,10581278,10697357
SOX8,+,chr16,1031808,1036979
SOX9,+,chr17,70117161,70122561
SOX9-AS1,-,chr17,70033455,70217977
SP1,+,chr12,53773960,53810230
SP100,+,chr2,231280657,231408805
SP110,-,chr2,231032009,231090444
SP140,+,chr2,231067826,231223762
SP140L,+,chr2,231191899,231268447
SP2,+,chr17,45973516,46006323
SP3,-,chr2,174771187,174830430
SP3P,-,chr13,90013414,90015478
SP4,+,chr7,21467652,21554440
SP5,+,chr2,171571861,171574588
SP6,-,chr17,45922279,45933240
SP7,-,chr12,53720362,53739099
SP8,-,chr7,20823906,20826505
SP9,+,chr2,175199674,175203220
SPA17,+,chr11,124543694,124567414
SPA17P1,-,chr10,77142151,77142602
SPACA1,+,chr6,88757507,88776550
SPACA3,+,chr17,31297394,31324895
SPACA4,+,chr19,49110000,49110970
SPACA5,+,chrX,47863734,47869126
SPACA5B,+,chrX,47990039,47991995
SPACA6P,+,chr19,52196593,52215640
SPACA6P-AS,-,chr19,52188616,52196709
SPACA7,+,chr13,113030633,113089003
SPAG1,+,chr8,101170134,101271506
SPAG11A,+,chr8,7705398,7726389
SPAG11B,-,chr8,7300206,7321196
SPAG16,+,chr2,214149113,215275225
SPAG17,-,chr1,118496484,118727846
SPAG4,+,chr20,34203814,34208971
SPAG5,-,chr17,26904588,26926297
SPAG5-AS1,+,chr17,26925808,26944393
SPAG6,+,chr10,22634399,22743153
SPAG7,-,chr17,4862521,4871167
SPAG8,-,chr9,35808042,35812269
SPAG9,-,chr17,49039535,49198226
SPAM1,+,chr7,123565286,123611468
SPANXA1,-,chrX,140671796,140673133
SPANXA2,+,chrX,140677562,140678899
SPANXA2-OT1,+,chrX,140590843,140738057
SPANXB1,+,chrX,140096761,140097876
SPANXB2,+,chrX,140084756,140085871
SPANXC,-,chrX,140335596,140336629
SPANXD,-,chrX,140785568,140786896
SPANXN1,+,chrX,144328348,144337632
SPANXN2,-,chrX,142795055,142804516
SPANXN3,-,chrX,142596564,142605303
SPANXN4,+,chrX,142113704,142122488
SPANXN5,-,chrX,52825184,52827141
SPARC,-,chr5,151040657,151066726
SPARCL1,-,chr4,88394487,88452213
SPAST,+,chr2,32288680,32382706
SPATA1,+,chr1,84971974,85031877
SPATA12,+,chr3,57094469,57109460
SPATA13,+,chr13,24553944,24881212
SPATA13-AS1,-,chr13,24826887,24828577
SPATA16,-,chr3,172607148,172859058
SPATA17,+,chr1,217804666,218045038
SPATA17-AS1,-,chr1,217954540,217958462
SPATA18,+,chr4,52917497,52963458
SPATA19,-,chr11,133710526,133715433
SPATA2,-,chr20,48519928,48532080
SPATA20,+,chr17,48620419,48633213
SPATA20P1,-,chr21,39610149,39610586
SPATA21,-,chr1,16713612,16763919
SPATA22,-,chr17,3343313,3417146
SPATA24,-,chr5,138732252,138739777
SPATA25,-,chr20,44515128,44516274
SPATA2L,-,chr16,89762751,89768113
SPATA2P1,+,chr13,56788507,56791076
SPATA3,+,chr2,231860836,231889770
SPATA3-AS1,-,chr2,231849083,231860747
SPATA31A1,+,chr9,39355699,39361956
SPATA31A2,+,chr9,39884975,39891210
SPATA31A3,+,chr9,40700291,40706537
SPATA31A4,-,chr9,41321107,41327364
SPATA31A5,+,chr9,41500679,41506925
SPATA31A6,-,chr9,43624507,43630730
SPATA31A7,-,chr9,65503363,65509610
SPATA31B1,-,chr9,84672562,84678597
SPATA31C1,+,chr9,90529408,90538572
SPATA31C2,-,chr9,90744220,90753361
SPATA31D1,+,chr9,84603687,84610171
SPATA31D2P,+,chr9,84583753,84586985
SPATA31D3,+,chr9,84558474,84565009
SPATA31D4,+,chr9,84543398,84549913
SPATA31D5P,+,chr9,84528352,84534841
SPATA31E1,+,chr9,90497741,90503814
SPATA31E2P,-,chr15,20798818,20804500
SPATA31E3P,-,chr15,23466152,23471888
SPATA32,-,chr17,43331760,43339479
SPATA33,+,chr16,89724210,89737680
SPATA4,-,chr4,177105789,177116822
SPATA41,-,chr15,100884662,100890438
SPATA42,+,chr1,109399839,109401146
SPATA5,+,chr4,123844229,124240605
SPATA5L1,+,chr15,45694529,45713617
SPATA6,-,chr1,48761044,48937845
SPATA6L,-,chr9,4553386,4666674
SPATA7,+,chr14,88851268,88936694
SPATA8,+,chr15,97326619,97328845
SPATA8-AS1,-,chr15,97315235,97326542
SPATA9,-,chr5,94987885,95034415
SPATC1,+,chr8,145086582,145101933
SPATC1L,-,chr21,47581062,47604390
SPATS1,+,chr6,44310397,44344904
SPATS2,+,chr12,49760367,49921205
SPATS2L,+,chr2,201170604,201346986
SPC24,-,chr19,11242196,11266484
SPC25,-,chr2,169690642,169769881
SPCS1,+,chr3,52738971,52742182
SPCS2,+,chr11,74660292,74690076
SPCS2P1,+,chr15,43423206,43423884
SPCS2P3,+,chr5,816461,817116
SPCS2P4,-,chr1,28421582,28422933
SPCS3,+,chr4,177241115,177253396
SPDEF,-,chr6,34505579,34524110
SPDL1,+,chr5,169010638,169031782
SPDYA,+,chr2,29005383,29073477
SPDYC,+,chr11,64937625,64940715
SPDYE1,+,chr7,44040488,44049721
SPDYE2,+,chr7,102191679,102202755
SPDYE2B,+,chr7,102290772,102301847
SPDYE3,+,chr7,99905325,99919819
SPDYE4,-,chr17,8656424,8661877
SPDYE6,-,chr7,101986192,101996889
SPDYE7P,-,chr7,72333321,72341076
SPDYE8P,-,chr7,72490260,72500313
SPDYE9P,-,chr7,76651635,76661674
SPECC1,+,chr17,19912657,20222339
SPECC1L,+,chr22,24666786,24813708
SPECC1L-ADORA2A,+,chr22,24666866,24838324
SPEF1,-,chr20,3758151,3762095
SPEF2,+,chr5,35617946,35814713
SPEG,+,chr2,220299568,220363009
SPEM1,+,chr17,7323679,7324951
SPEN,+,chr1,16174359,16266955
SPERT,+,chr13,46276446,46288694
SPESP1,+,chr15,69110560,69239150
SPG11,-,chr15,44854894,44955876
SPG20,-,chr13,36875775,36944317
SPG20OS,+,chr13,36920568,36943738
SPG21,-,chr15,65255362,65282648
SPG7,+,chr16,89557325,89624176
SPHAR,+,chr1,229440129,229441248
SPHK1,+,chr17,74372665,74383941
SPHK2,+,chr19,49122548,49133974
SPHKAP,-,chr2,228844666,229046361
SPI1,-,chr11,47376411,47400127
SPIB,+,chr19,50922195,50934570
SPIC,+,chr12,101869199,101880775
SPICE1,-,chr3,113161565,113234034
SPIDR,+,chr8,48173167,48648868
SPIN1,+,chr9,91003334,91093609
SPIN2A,-,chrX,57160963,57164058
SPIN2B,-,chrX,57144984,57147980
SPIN3,-,chrX,57002803,57021970
SPIN4,-,chrX,62567107,62571223
SPIN4-AS1,+,chrX,62569525,62572057
SPINK1,-,chr5,147204131,147211349
SPINK13,+,chr5,147647743,147665817
SPINK14,+,chr5,147549296,147554961
SPINK2,-,chr4,57676026,57687908
SPINK4,+,chr9,33218363,33248565
SPINK5,+,chr5,147405246,147516852
SPINK6,+,chr5,147582357,147594700
SPINK7,+,chr5,147691982,147695485
SPINK8,-,chr3,48348336,48369831
SPINK9,+,chr5,147700766,147719412
SPINT1,+,chr15,41136216,41150405
SPINT2,+,chr19,38734675,38783254
SPINT3,-,chr20,44141101,44144264
SPINT4,+,chr20,44350990,44354469
SPINT5P,+,chr20,44378559,44378713
SPIRE1,-,chr18,12446511,12658133
SPIRE2,+,chr16,89884587,89937727
SPN,+,chr16,29674300,29682187
SPNS1,+,chr16,28985542,28995869
SPNS2,+,chr17,4402133,4442330
SPNS3,+,chr17,4336983,4391503
SPO11,+,chr20,55904815,55919050
SPOCD1,-,chr1,32256023,32281652
SPOCK1,-,chr5,136310987,136934068
SPOCK2,-,chr10,73818793,73848790
SPOCK3,-,chr4,167654535,168155947
SPON1,+,chr11,13983914,14289646
SPON2,-,chr4,1160720,1202750
SPOP,-,chr17,47676246,47755596
SPOPL,+,chr2,139259371,139331117
SPP1,+,chr4,88896819,88904562
SPP2,+,chr2,234959323,234985778
SPPL2A,-,chr15,50999506,51058005
SPPL2B,+,chr19,2328614,2355099
SPPL2C,+,chr17,43922256,43924438
SPPL3,-,chr12,121200313,121342174
SPR,+,chr2,73114489,73119287
SPRED1,+,chr15,38544527,38649450
SPRED2,-,chr2,65537985,65659771
SPRED3,+,chr19,38879061,38886881
SPRN,-,chr10,135234170,135382916
SPRR1A,+,chr1,152956557,152958289
SPRR1B,+,chr1,153003678,153005376
SPRR2A,-,chr1,153028589,153030013
SPRR2B,-,chr1,153042700,153113927
SPRR2C,-,chr1,153112967,153113185
SPRR2D,-,chr1,153012201,153014407
SPRR2E,-,chr1,153065611,153078660
SPRR2F,-,chr1,153084590,153085991
SPRR2G,-,chr1,153122058,153123345
SPRR3,+,chr1,152974223,152976332
SPRR4,+,chr1,152943142,152945050
SPRTN,+,chr1,231472850,231490769
SPRY1,+,chr4,124317950,124324910
SPRY2,-,chr13,80910111,80915086
SPRY3,+,chrX,154997474,155012121
SPRY4,-,chr5,141689992,141706020
SPRYD3,-,chr12,53458388,53473204
SPRYD4,+,chr12,56862301,56864763
SPRYD7,-,chr13,50486842,50510626
SPSB1,+,chr1,9352939,9429591
SPSB2,-,chr12,6980099,6998522
SPSB3,-,chr16,1826713,1843701
SPSB4,+,chr3,140770244,140867453
SPTA1,-,chr1,158580496,158656488
SPTAN1,+,chr9,131314866,131395941
SPTB,-,chr14,65213002,65346601
SPTBN1,+,chr2,54683422,54896812
SPTBN2,-,chr11,66452719,66496697
SPTBN4,+,chr19,40972148,41082370
SPTBN5,-,chr15,42140345,42186275
SPTLC1,-,chr9,94794281,94877666
SPTLC1P1,+,chr10,31649884,31650144
SPTLC1P2,-,chr6,23856926,23857046
SPTLC1P3,+,chr6,63937390,63937648
SPTLC1P4,+,chr1,152050428,152050687
SPTLC1P5,+,chr13,78233548,78233799
SPTLC2,-,chr14,77972340,78083116
SPTLC3,+,chr20,12989627,13147411
SPTSSA,-,chr14,34901995,34931562
SPTSSB,-,chr3,161062580,161090668
SPTY2D1,-,chr11,18627948,18656338
SPTY2D1-AS1,+,chr11,18621334,18631802
SPZ1,+,chr5,79615444,79617661
SQLE,+,chr8,126010739,126034525
SQRDL,+,chr15,45923346,45983492
SQSTM1,+,chr5,179233388,179265078
SQSTM1P1,-,chr13,62980191,62981049
SRA1,-,chr5,139916925,139937895
SRBD1,-,chr2,45615819,45839304
SRC,+,chr20,35973088,36034453
SRCAP,+,chr16,30709530,30755602
SRCIN1,-,chr17,36686251,36762183
SRCRB4D,-,chr7,76018651,76039012
SRD5A1,+,chr5,6633456,6669675
SRD5A1P1,+,chrX,138529050,138529835
SRD5A2,-,chr2,31747550,31806136
SRD5A3,+,chr4,56212276,56239263
SRD5A3-AS1,-,chr4,56230138,56262014
SRD5A3P1,+,chr11,59665658,59666606
SREBF1,-,chr17,17713713,17740325
SREBF2,+,chr22,42229109,42303312
SREK1,+,chr5,65435799,65479443
SREK1IP1,-,chr5,64013971,64064512
SRF,+,chr6,43139037,43149243
SRFBP1,+,chr5,121297656,121411265
SRGAP1,+,chr12,64238073,64541613
SRGAP2,+,chr1,206516200,206637783
SRGAP2-AS1,-,chr1,206552219,206554954
SRGAP2B,+,chr1,143913615,144094424
SRGAP2C,+,chr1,121107124,121129949
SRGAP3,-,chr3,9022275,9404737
SRGAP3-AS1,+,chr3,9055807,9057663
SRGAP3-AS2,+,chr3,9234177,9236137
SRGAP3-AS3,+,chr3,9258579,9259771
SRGAP3-AS4,+,chr3,9298443,9299191
SRGN,+,chr10,70847862,70864567
SRGNP1,+,chr13,78859973,78860423
SRI,-,chr7,87834433,87856308
SRIP1,+,chr4,58969313,58969600
SRIP2,-,chrX,88622434,88622599
SRIP3,-,chrY,6587003,6587221
SRL,-,chr16,4239375,4292081
SRM,-,chr1,11114641,11120081
SRMP1,+,chr20,46488532,46489416
SRMP2,-,chr14,61385958,61386873
SRMS,-,chr20,62172163,62178857
SRP14,-,chr15,40327940,40331389
SRP14-AS1,+,chr15,40331512,40359491
SRP19,+,chr5,112196919,112205485
SRP54,+,chr14,35451163,35498773
SRP68,-,chr17,74035184,74068734
SRP68P1,-,chr17,16690549,16691455
SRP68P2,+,chr17,18430871,18431775
SRP68P3,-,chr17,20319105,20320010
SRP72,+,chr4,57333081,57369839
SRP72P1,-,chr18,47021517,47023266
SRP72P2,-,chr6,158658368,158663829
SRP9,+,chr1,225965531,225978168
SRP9P1,-,chr10,93565803,93567253
SRPK1,-,chr6,35800743,35889119
SRPK2,-,chr7,104751151,105039755
SRPK3,+,chrX,153041867,153051187
SRPR,-,chr11,126132814,126139039
SRPRB,+,chr3,133502877,133544616
SRPX,-,chrX,38008589,38080696
SRPX2,+,chrX,99899215,99926296
SRR,+,chr17,2206677,2228554
SRRD,+,chr22,26879843,26890624
SRRM1,+,chr1,24958207,24999758
SRRM1P2,+,chr3,83986196,83987387
SRRM1P3,-,chrX,136058576,136067864
SRRM2,+,chr16,2802330,2822539
SRRM2-AS1,-,chr16,2787077,2802601
SRRM3,+,chr7,75831216,75916605
SRRM4,+,chr12,119419300,119600856
SRRM5,+,chr19,44100769,44118649
SRRT,+,chr7,100472733,100486285
SRSF1,-,chr17,56080721,56084707
SRSF10,-,chr1,24291294,24307417
SRSF10P1,-,chr18,48684652,48685753
SRSF11,+,chr1,70671365,70718735
SRSF12,-,chr6,89805678,89827800
SRSF1P1,-,chr13,69982348,69982867
SRSF2,-,chr17,74730197,74733456
SRSF3,+,chr6,36562145,36573377
SRSF4,-,chr1,29474255,29508499
SRSF5,+,chr14,70193617,70238722
SRSF6,+,chr20,42086568,42092245
SRSF7,-,chr2,38970741,38978636
SRSF8,+,chr11,94800056,94804388
SRSF9,-,chr12,120899471,120907596
SRSF9P1,-,chr21,37667471,37668000
SRXN1,-,chr20,627259,634014
SRY,-,chrY,2654896,2655740
SS18,-,chr18,23596578,23671181
SS18L1,+,chr20,60718822,60757540
SS18L2,+,chr3,42623332,42636606
SS18L2P1,+,chr10,35164138,35164350
SS18L2P2,-,chr18,48947433,48948044
SSB,+,chr2,170648443,170668574
SSBP1,+,chr7,141438121,141487722
SSBP2,-,chr5,80708840,81047616
SSBP3,-,chr1,54691105,54879152
SSBP3-AS1,+,chr1,54703710,54704736
SSBP4,+,chr19,18529674,18545372
SSC5D,+,chr19,55999771,56030465
SSFA2,+,chr2,182756560,182795465
SSH1,-,chr12,109176466,109251366
SSH2,-,chr17,27952956,28257294
SSH3,+,chr11,67070919,67080078
SSMEM1,+,chr7,129847700,129856683
SSNA1,+,chr9,140083099,140084822
SSPN,+,chr12,26274924,26452223
SSPO,+,chr7,149473131,149531068
SSR1,-,chr6,7268539,7347679
SSR1P1,-,chr6,150705443,150706256
SSR1P2,+,chr13,75710291,75711077
SSR2,-,chr1,155978839,155990750
SSR3,-,chr3,156257929,156272973
SSR4,+,chrX,153058971,153063960
SSR4P1,-,chr21,46491648,46494080
SSRP1,-,chr11,57093459,57103351
SSSCA1,+,chr11,65337901,65341413
SSSCA1-AS1,-,chr11,65337131,65337744
SST,-,chr3,187386694,187388187
SSTR1,+,chr14,38677204,38682272
SSTR2,+,chr17,71161151,71167185
SSTR3,-,chr22,37600278,37608362
SSTR4,+,chr20,23016057,23017314
SSTR5,+,chr16,1122756,1131454
SSTR5-AS1,-,chr16,1114093,1128707
SSU72,-,chr1,1477053,1510249
SSU72P1,+,chrX,113625127,113625709
SSU72P2,-,chr11,4263286,4263871
SSU72P3,+,chr11,4351095,4351679
SSU72P4,-,chr11,4308732,4309313
SSU72P5,+,chr11,4254516,4255099
SSU72P6,+,chr11,4299935,4300422
SSU72P7,-,chr11,4359893,4360475
SSU72P8,+,chr7,124116425,124117009
SSUH2,-,chr3,8661086,8786726
SSX1,+,chrX,48114752,48126879
SSX2,-,chrX,52725946,52736239
SSX2B,+,chrX,52780318,52790617
SSX2IP,-,chr1,85109390,85156486
SSX3,-,chrX,48205863,48216142
SSX4,+,chrX,48242863,48252785
SSX4B,-,chrX,48261524,48271344
SSX5,-,chrX,48045656,48056199
SSX6,+,chrX,47967367,47980068
SSX7,-,chrX,52673140,52683950
SSX8,+,chrX,52651985,52662998
SSX9,-,chrX,48156251,48165614
SSXP1,-,chrX,52635582,52640808
SSXP10,+,chr6,118910233,118910797
SSXP3,+,chrX,48015795,48025778
SSXP4,+,chrX,52627544,52632339
SSXP5,+,chrX,52701768,52706101
SSXP9,+,chrX,48181784,48186118
ST13,-,chr22,41220539,41253026
ST13P10,-,chr11,112138013,112139094
ST13P11,+,chr11,94646212,94646931
ST13P12,+,chr5,82264707,82272972
ST13P13,+,chr10,104975466,104976557
ST13P14,-,chr3,50914143,50915088
ST13P15,-,chr3,143235965,143237071
ST13P16,-,chr6,88154113,88154893
ST13P18,-,chrX,92542732,92543758
ST13P19,-,chr1,210438981,210440587
ST13P2,+,chr2,188690068,188691176
ST13P20,+,chr1,82187378,82188753
ST13P21,+,chr1,109044980,109046077
ST13P3,+,chr12,106409675,106410784
ST13P4,+,chr13,50746225,50747317
ST13P5,+,chr11,18283529,18284638
ST13P6,+,chr8,134420249,134421471
ST14,+,chr11,130029457,130080271
ST18,-,chr8,53023399,53373519
ST20,-,chr15,80191182,80216044
ST20-MTHFS,-,chr15,80137537,80216096
ST3GAL1,-,chr8,134467091,134584183
ST3GAL1P1,-,chr4,68582093,68583106
ST3GAL2,-,chr16,70413338,70473140
ST3GAL3,+,chr1,44171495,44396831
